department_no,department,head,head_no,name,party,state,president,start_date,end_date,birth_country
4,Department of Justice,Attorney General,30,Ebenezer R. Hoar ,,,Ulysses S. Grant ,,,United States
4,Department of Justice,Attorney General,31,Amos T. Akerman ,,,Ulysses S. Grant ,,,United States
4,Department of Justice,Attorney General,32,George Henry Williams ,,,Ulysses S. Grant ,,,United States
4,Department of Justice,Attorney General,33,Edwards Pierrepont ,,,Ulysses S. Grant ,,,United States
4,Department of Justice,Attorney General,34,Alphonso Taft ,,,Ulysses S. Grant ,,,United States
4,Department of Justice,Attorney General,35,Charles Devens ,,,Rutherford B. Hayes ,,,United States
4,Department of Justice,Attorney General,36,Wayne MacVeagh ,,,James A. Garfield ,,,United States
4,Department of Justice,Attorney General,37,Benjamin H. Brewster ,,,Chester A. Arthur ,,,United States
4,Department of Justice,Attorney General,38,Augustus Garland ,,,Grover Cleveland ,,,United States
4,Department of Justice,Attorney General,39,William H. H. Miller ,,,Benjamin Harrison ,,,United States
4,Department of Justice,Attorney General,40,Richard Olney ,,,Grover Cleveland ,,,United States
4,Department of Justice,Attorney General,41,Judson Harmon ,,,Grover Cleveland ,,,United States
4,Department of Justice,Attorney General,42,Joseph McKenna ,,,William McKinley ,,,United States
4,Department of Justice,Attorney General,43,John W. Griggs ,,,William McKinley ,,,United States
4,Department of Justice,Attorney General,44,Philander C. Knox ,,,William McKinley ,,,United States
4,Department of Justice,Attorney General,45,William Henry Moody ,,,Theodore Roosevelt ,,,United States
4,Department of Justice,Attorney General,46,Charles Bonaparte ,,,Theodore Roosevelt ,,,United States
4,Department of Justice,Attorney General,47,George W. Wickersham ,,,William Howard Taft ,,,United States
4,Department of Justice,Attorney General,48,James C. McReynolds ,,,Woodrow Wilson ,,,United States
4,Department of Justice,Attorney General,49,Thomas Watt Gregory ,,,Woodrow Wilson ,,,United States
4,Department of Justice,Attorney General,50,A. Mitchell Palmer ,,,Woodrow Wilson ,,,United States
4,Department of Justice,Attorney General,51,Harry M. Daugherty ,,,Warren G. Harding ,,,United States
4,Department of Justice,Attorney General,52,Harlan F. Stone ,,,Calvin Coolidge ,,,United States
4,Department of Justice,Attorney General,53,John G. Sargent ,,,Calvin Coolidge ,,,United States
4,Department of Justice,Attorney General,54,William D. Mitchell ,,,Herbert Hoover ,,,United States
4,Department of Justice,Attorney General,55,Homer Stille Cummings ,,,Franklin D. Roosevelt ,,,United States
4,Department of Justice,Attorney General,56,Frank Murphy ,,,Franklin D. Roosevelt ,,,United States
4,Department of Justice,Attorney General,57,Robert H. Jackson ,,,Franklin D. Roosevelt ,,,United States
4,Department of Justice,Attorney General,58,Francis Biddle ,,,Harry S. Truman ,,,United States
4,Department of Justice,Attorney General,59,Tom C. Clark ,,,Harry S. Truman ,,,United States
4,Department of Justice,Attorney General,60,J. Howard McGrath ,,,Harry S. Truman ,,,United States
4,Department of Justice,Attorney General,61,James P. McGranery ,,,Harry S. Truman ,,,United States
4,Department of Justice,Attorney General,62,Herbert Brownell Jr. ,,,Dwight D. Eisenhower ,,,United States
4,Department of Justice,Attorney General,63,William P. Rogers ,,,Dwight D. Eisenhower ,,,United States
4,Department of Justice,Attorney General,64,Robert F. Kennedy ,,,John F. Kennedy ,,,United States
4,Department of Justice,Attorney General,65,Nicholas Katzenbach ,,,Lyndon B. Johnson ,,,United States
4,Department of Justice,Attorney General,66,Ramsey Clark ,,,Lyndon B. Johnson ,,,United States
4,Department of Justice,Attorney General,67,John N. Mitchell ,,,Richard Nixon ,,,United States
4,Department of Justice,Attorney General,68,Richard Kleindienst ,,,Richard Nixon ,,,United States
4,Department of Justice,Attorney General,69,Elliot Richardson ,,,Richard Nixon ,,,United States
4,Department of Justice,Attorney General,70,William B. Saxbe ,,,Richard Nixon ,,,United States
4,Department of Justice,Attorney General,71,Edward H. Levi ,,,Gerald Ford ,,,United States
4,Department of Justice,Attorney General,72,Griffin Bell ,,,Jimmy Carter ,,,United States
4,Department of Justice,Attorney General,73,Benjamin Civiletti ,,,Jimmy Carter ,,,United States
4,Department of Justice,Attorney General,74,William French Smith ,,,Ronald Reagan ,,,United States
4,Department of Justice,Attorney General,75,Edwin Meese ,,,Ronald Reagan ,,,United States
4,Department of Justice,Attorney General,76,Dick Thornburgh ,,,Ronald Reagan ,,,United States
4,Department of Justice,Attorney General,77,William Barr,,,George H. W. Bush ,,,United States
4,Department of Justice,Attorney General,78,Janet Reno ,,,Bill Clinton ,,,United States
4,Department of Justice,Attorney General,79,John Ashcroft ,,,George W. Bush ,,,United States
4,Department of Justice,Attorney General,80,Alberto Gonzales ,,,George W. Bush ,,,United States
4,Department of Justice,Attorney General,81,Michael Mukasey ,,,George W. Bush ,,,United States
4,Department of Justice,Attorney General,82,Eric Holder ,,,Barack Obama ,,,United States
4,Department of Justice,Attorney General,83,Loretta Lynch ,,,Barack Obama ,,,United States
4,Department of Justice,Attorney General,84,Jeff Sessions ,,,Donald Trump ,,,United States
4,Department of Justice,Attorney General,85,William Barr,,,Donald Trump ,,,United States
4,Department of Justice,Attorney General,86,Merrick Garland ,,,Joe Biden ,,,United States
5,Department of the Interior,Secretary of the Interior,1,Thomas Ewing,Whig,Ohio,Zachary Taylor,,,United States
5,Department of the Interior,Secretary of the Interior,2,Thomas M. T. McKennan,Whig,Pennsylvania,Millard Fillmore,,,United States
5,Department of the Interior,Secretary of the Interior,3,Alexander H. H. Stuart,Whig,Virginia,Millard Fillmore,,,United States
5,Department of the Interior,Secretary of the Interior,4,Robert McClelland,Democratic,Michigan,Franklin Pierce,,,United States
5,Department of the Interior,Secretary of the Interior,5,Jacob Thompson,Democratic,Mississippi,James Buchanan,,,United States
5,Department of the Interior,Secretary of the Interior,6,Caleb B. Smith,Republican,Indiana,Abraham Lincoln,,,United States
5,Department of the Interior,Secretary of the Interior,7,John P. Usher,Republican,Indiana,Abraham Lincoln,,,United States
5,Department of the Interior,Secretary of the Interior,8,James Harlan,Republican,Iowa,Andrew Johnson,,,United States
5,Department of the Interior,Secretary of the Interior,9,Orville H. Browning,Republican,Illinois,Andrew Johnson,,,United States
5,Department of the Interior,Secretary of the Interior,10,Jacob D. Cox,Republican,Ohio,Ulysses S. Grant,,,United States
5,Department of the Interior,Secretary of the Interior,11,Columbus Delano,Republican,Ohio,Ulysses S. Grant,,,United States
5,Department of the Interior,Secretary of the Interior,12,Zachariah Chandler,Republican,Michigan,Ulysses S. Grant,,,United States
5,Department of the Interior,Secretary of the Interior,13,Carl Schurz,Republican,,Rutherford B. Hayes,,,Germany
5,Department of the Interior,Secretary of the Interior,14,Samuel J. Kirkwood,Republican,,James A. Garfield,,,United States
5,Department of the Interior,Secretary of the Interior,15,Henry M. Teller,Republican,,Chester A. Arthur,,,United States
5,Department of the Interior,Secretary of the Interior,16,Lucius Q. C. Lamar II,Democratic,,Grover Cleveland,,,United States
5,Department of the Interior,Secretary of the Interior,17,William F. Vilas,Democratic,,Grover Cleveland,,,United States
5,Department of the Interior,Secretary of the Interior,18,John W. Noble,Republican,,Benjamin Harrison,,,United States
5,Department of the Interior,Secretary of the Interior,19,Hoke Smith,Democratic,,Grover Cleveland,,,United States
5,Department of the Interior,Secretary of the Interior,20,David R. Francis,Democratic,,Grover Cleveland,,,United States
5,Department of the Interior,Secretary of the Interior,21,Cornelius N. Bliss,,,William McKinley,,,United States
5,Department of the Interior,Secretary of the Interior,22,Ethan A. Hitchcock,,,William McKinley,,,United States
5,Department of the Interior,Secretary of the Interior,23,James R. Garfield,,,Theodore Roosevelt,,,United States
5,Department of the Interior,Secretary of the Interior,24,Richard A. Ballinger,,,William Howard Taft,,,United States
5,Department of the Interior,Secretary of the Interior,25,Walter L. Fisher,,,William Howard Taft,,,United States
5,Department of the Interior,Secretary of the Interior,26,Franklin K. Lane,,,Woodrow Wilson,,,Canada
5,Department of the Interior,Secretary of the Interior,27,John B. Payne,,,Woodrow Wilson,,,United States
5,Department of the Interior,Secretary of the Interior,28,Albert B. Fall,,,Warren G. Harding,,,United States
5,Department of the Interior,Secretary of the Interior,29,Hubert Work,,,Warren G. Harding,,,United States
5,Department of the Interior,Secretary of the Interior,30,Roy O. West,,,Calvin Coolidge,,,United States
5,Department of the Interior,Secretary of the Interior,31,Ray Lyman Wilbur,,,Herbert Hoover,,,United States
5,Department of the Interior,Secretary of the Interior,32,Harold L. Ickes,,,Franklin D. Roosevelt,,,United States
5,Department of the Interior,Secretary of the Interior,33,Julius A. Krug,,,Harry S. Truman,,,United States
5,Department of the Interior,Secretary of the Interior,34,Oscar L. Chapman,,,Harry S. Truman,,,United States
5,Department of the Interior,Secretary of the Interior,35,Douglas McKay,,,Dwight D. Eisenhower,,,United States
5,Department of the Interior,Secretary of the Interior,36,Fred A. Seaton,,,Dwight D. Eisenhower,,,United States
5,Department of the Interior,Secretary of the Interior,37,Stewart L. Udall,,,John F. Kennedy,,,United States
5,Department of the Interior,Secretary of the Interior,38,Walter J. Hickel,,,Richard Nixon,,,United States
5,Department of the Interior,Secretary of the Interior,39,Rogers C. B. Morton,,,Richard Nixon,,,United States
5,Department of the Interior,Secretary of the Interior,40,Stanley K. Hathaway,,,Gerald Ford,,,United States
5,Department of the Interior,Secretary of the Interior,41,Thomas S. Kleppe,,,Gerald Ford,,,United States
5,Department of the Interior,Secretary of the Interior,42,Cecil D. Andrus,,,Jimmy Carter,,,United States
5,Department of the Interior,Secretary of the Interior,43,James G. Watt,,,Ronald Reagan,,,United States
5,Department of the Interior,Secretary of the Interior,44,William P. Clark,,,Ronald Reagan,,,United States
5,Department of the Interior,Secretary of the Interior,45,Donald P. Hodel,,,Ronald Reagan,,,United States
5,Department of the Interior,Secretary of the Interior,46,Manuel Lujan Jr.,,,George H. W. Bush,,,United States
5,Department of the Interior,Secretary of the Interior,47,Bruce E. Babbitt,,,Bill Clinton,,,United States
5,Department of the Interior,Secretary of the Interior,48,Gale A. Norton,,,George W. Bush,,,United States
5,Department of the Interior,Secretary of the Interior,49,Dirk Kempthorne,,,George W. Bush,,,United States
5,Department of the Interior,Secretary of the Interior,50,Ken Salazar,,,Barack Obama,,,United States
5,Department of the Interior,Secretary of the Interior,51,Sally Jewell,,,Barack Obama,,,United Kingdom
5,Department of the Interior,Secretary of the Interior,52,Ryan Zinke,,,Donald Trump,,,United States
5,Department of the Interior,Secretary of the Interior,53,David Bernhardt,,,Donald Trump,,,United States
5,Department of the Interior,Secretary of the Interior,54,Deb Haaland,,,Joe Biden,,,United States
6,Department of Agriculture,Secretary of Agriculture,1,Norman Jay Coleman,Democratic,,Grover Cleveland,,,United States
6,Department of Agriculture,Secretary of Agriculture,2,Jeremiah McLain Rusk,Republican,,Benjamin Harrison,,,United States
6,Department of Agriculture,Secretary of Agriculture,3,Julius Sterling Morton,Democratic,,Grover Cleveland,,,United States
6,Department of Agriculture,Secretary of Agriculture,4,James Wilson,Republican,,William McKinley,,,United Kingdom
6,Department of Agriculture,Secretary of Agriculture,5,David F. Houston,Democratic,,Woodrow Wilson,,,United States
6,Department of Agriculture,Secretary of Agriculture,6,Edwin T. Meredith,Democratic,,Woodrow Wilson,,,United States
6,Department of Agriculture,Secretary of Agriculture,7,Henry Cantwell Wallace,Republican,,Warren G. Harding,,,United States
6,Department of Agriculture,Secretary of Agriculture,8,Howard Mason Gore,Republican,,Calvin Coolidge,,,United States
6,Department of Agriculture,Secretary of Agriculture,9,William Marion Jardine,Republican,,Calvin Coolidge,,,United States
6,Department of Agriculture,Secretary of Agriculture,10,Arthur M. Hyde,Republican,,Herbert Hoover,,,United States
6,Department of Agriculture,Secretary of Agriculture,11,Henry A. Wallace,Democratic,,Franklin D. Roosevelt,,,United States
6,Department of Agriculture,Secretary of Agriculture,12,Claude R. Wickard,Democratic,,Harry S. Truman,,,United States
6,Department of Agriculture,Secretary of Agriculture,13,Clinton Anderson,Democratic,,Harry S. Truman,,,United States
6,Department of Agriculture,Secretary of Agriculture,14,Charles F. Brannan,Democratic,,Harry S. Truman,,,United States
6,Department of Agriculture,Secretary of Agriculture,15,Ezra Taft Benson,Republican,,Dwight D. Eisenhower,,,United States
6,Department of Agriculture,Secretary of Agriculture,16,Orville Freeman,Democratic,,John F. Kennedy,,,United States
6,Department of Agriculture,Secretary of Agriculture,17,Clifford M. Hardin,Republican,,Richard Nixon,,,United States
6,Department of Agriculture,Secretary of Agriculture,18,Earl Butz,Republican,,Gerald Ford,,,United States
6,Department of Agriculture,Secretary of Agriculture,19,John Albert Knebel,Republican,,Gerald Ford,,,United States
6,Department of Agriculture,Secretary of Agriculture,20,Robert Bergland,Democratic,,Jimmy Carter,,,United States
6,Department of Agriculture,Secretary of Agriculture,21,John Rusling Block,Republican,,Ronald Reagan,,,United States
6,Department of Agriculture,Secretary of Agriculture,22,Richard Edmund Lyng,Republican,,Ronald Reagan,,,United States
6,Department of Agriculture,Secretary of Agriculture,23,Clayton Yeutter,Republican,,George H. W. Bush,,,United States
6,Department of Agriculture,Secretary of Agriculture,24,Edward Rell Madigan,Republican,,George H. W. Bush,,,United States
6,Department of Agriculture,Secretary of Agriculture,25,Mike Espy,Democratic,,Bill Clinton,,,United States
6,Department of Agriculture,Secretary of Agriculture,26,Dan Glickman,Democratic,,Bill Clinton,,,United States
6,Department of Agriculture,Secretary of Agriculture,27,Ann Veneman,Republican,,George W. Bush,,,United States
6,Department of Agriculture,Secretary of Agriculture,28,Mike Johanns,Republican,,George W. Bush,,,United States
6,Department of Agriculture,Secretary of Agriculture,29,Ed Schafer,Republican,,George W. Bush,,,United States
6,Department of Agriculture,Secretary of Agriculture,30,Tom Vilsack,Democratic,,Barack Obama,,,United States
6,Department of Agriculture,Secretary of Agriculture,31,Sonny Perdue,Republican,,Donald Trump,,,United States
6,Department of Agriculture,Secretary of Agriculture,32,Tom Vilsack,Democratic,,Joe Biden,,,United States
7,Department of Commerce,Secretary of Commerce,1,William C. Redfield,Democratic,,Woodrow Wilson,,,United States
7,Department of Commerce,Secretary of Commerce,2,Joshua W. Alexander,Democratic,,Woodrow Wilson,,,United States
7,Department of Commerce,Secretary of Commerce,3,Herbert Hoover,Republican,,Warren G. Harding,,,United States
7,Department of Commerce,Secretary of Commerce,4,William F. Whiting,Republican,,Calvin Coolidge,,,United States
7,Department of Commerce,Secretary of Commerce,5,Robert P. Lamont,Republican,,Herbert C. Hoover,,,United States
7,Department of Commerce,Secretary of Commerce,6,Roy D. Chapin,Republican,,Herbert C. Hoover,,,United States
7,Department of Commerce,Secretary of Commerce,7,Daniel C. Roper,Democratic,,Franklin D. Roosevelt,,,United States
7,Department of Commerce,Secretary of Commerce,8,Harry Hopkins,Democratic,,Franklin D. Roosevelt,,,United States
7,Department of Commerce,Secretary of Commerce,9,Jesse H. Jones,Democratic,,Franklin D. Roosevelt,,,United States
7,Department of Commerce,Secretary of Commerce,10,Henry A. Wallace,Democratic,,Harry S. Truman,,,United States
7,Department of Commerce,Secretary of Commerce,11,W. Averell Harriman,Democratic,,Harry S. Truman,,,United States
7,Department of Commerce,Secretary of Commerce,12,Charles W. Sawyer,Democratic,,Harry S. Truman,,,United States
7,Department of Commerce,Secretary of Commerce,13,Sinclair Weeks,Republican,,Dwight D. Eisenhower,,,United States
7,Department of Commerce,Secretary of Commerce,14,Frederick H. Mueller,Republican,,Dwight D. Eisenhower,,,United States
7,Department of Commerce,Secretary of Commerce,15,Luther H. Hodges,Democratic,,John F. Kennedy,,,United States
7,Department of Commerce,Secretary of Commerce,16,John T. Connor,Independent,,Lyndon B. Johnson,,,United States
7,Department of Commerce,Secretary of Commerce,17,Alexander Trowbridge,Democratic,,Lyndon B. Johnson,,,United States
7,Department of Commerce,Secretary of Commerce,18,C. R. Smith,Democratic,,Lyndon B. Johnson,,,United States
7,Department of Commerce,Secretary of Commerce,19,Maurice Stans,Republican,,Richard Nixon,,,United States
7,Department of Commerce,Secretary of Commerce,20,Peter G. Peterson,Republican,,Richard Nixon,,,United States
7,Department of Commerce,Secretary of Commerce,21,Frederick B. Dent,Republican,,Gerald Ford,,,United States
7,Department of Commerce,Secretary of Commerce,22,Rogers Morton,Republican,,Gerald Ford,,,United States
7,Department of Commerce,Secretary of Commerce,23,Elliot Richardson,Republican,,Gerald Ford,,,United States
7,Department of Commerce,Secretary of Commerce,24,Juanita M. Kreps,Democratic,,Jimmy Carter,,,United States
7,Department of Commerce,Secretary of Commerce,25,Philip Klutznick,Democratic,,Jimmy Carter,,,United States
7,Department of Commerce,Secretary of Commerce,26,Malcolm Baldrige Jr.,Republican,,Ronald Reagan,,,United States
7,Department of Commerce,Secretary of Commerce,27,William Verity Jr.,Republican,,Ronald Reagan,,,United States
7,Department of Commerce,Secretary of Commerce,28,Robert Mosbacher,Republican,,George H. W. Bush,,,United States
7,Department of Commerce,Secretary of Commerce,29,Barbara Franklin,Republican,,George H. W. Bush,,,United States
7,Department of Commerce,Secretary of Commerce,30,Ron Brown,Democratic,,Bill Clinton,,,United States
7,Department of Commerce,Secretary of Commerce,31,Mickey Kantor,Democratic,,Bill Clinton,,,United States
7,Department of Commerce,Secretary of Commerce,32,William M. Daley,Democratic,,Bill Clinton,,,United States
7,Department of Commerce,Secretary of Commerce,33,Norman Mineta,Democratic,,Bill Clinton,,,United States
7,Department of Commerce,Secretary of Commerce,34,Donald Evans,Republican,,George W. Bush,,,United States
7,Department of Commerce,Secretary of Commerce,35,Carlos Gutierrez,Republican,,George W. Bush,,,Cuba
7,Department of Commerce,Secretary of Commerce,36,Gary Locke,Democratic,,Barack Obama,,,United States
7,Department of Commerce,Secretary of Commerce,37,John Bryson,Democratic,,Barack Obama,,,United States
7,Department of Commerce,Secretary of Commerce,38,Penny Pritzker,Democratic,,Barack Obama,,,United States
7,Department of Commerce,Secretary of Commerce,39,Wilbur Ross,Republican,,Donald Trump,,,United States
7,Department of Commerce,Secretary of Commerce,40,Gina Raimondo,Democratic,,Joe Biden,,,United States
8,Department of Labor,Secretary of Labor,1,William B. Wilson,Democratic,,Woodrow Wilson,,,United Kingdom
8,Department of Labor,Secretary of Labor,2,James J. Davis,Republican,,Warren G. Harding,,,United Kingdom
8,Department of Labor,Secretary of Labor,3,William N. Doak,Republican,,Herbert Hoover,,,United States
8,Department of Labor,Secretary of Labor,4,Frances Perkins,Democratic,,Franklin D. Roosevelt,,,United States
8,Department of Labor,Secretary of Labor,5,Lewis B. Schwellenbach,Democratic,,Harry S. Truman,,,United States
8,Department of Labor,Secretary of Labor,6,Maurice J. Tobin,Democratic,,Harry S. Truman,,,United States
8,Department of Labor,Secretary of Labor,7,Martin P. Durkin,Democratic,,Dwight D. Eisenhower,,,United States
8,Department of Labor,Secretary of Labor,8,James P. Mitchell,Republican,,Dwight D. Eisenhower,,,United States
8,Department of Labor,Secretary of Labor,9,Arthur Goldberg,Democratic,,John F. Kennedy,,,United States
8,Department of Labor,Secretary of Labor,10,W. Willard Wirtz,Democratic,,Lyndon B. Johnson,,,United States
8,Department of Labor,Secretary of Labor,11,George P. Shultz,Republican,,Richard Nixon,,,United States
8,Department of Labor,Secretary of Labor,12,James D. Hodgson,Republican,,Richard Nixon,,,United States
8,Department of Labor,Secretary of Labor,13,Peter J. Brennan,Republican,,Gerald Ford,,,United States
8,Department of Labor,Secretary of Labor,14,John T. Dunlop,Republican,,Gerald Ford,,,United States
8,Department of Labor,Secretary of Labor,15,William Usery Jr.,Republican,,Gerald Ford,,,United States
8,Department of Labor,Secretary of Labor,16,Ray Marshall,Democratic,,Jimmy Carter,,,United States
8,Department of Labor,Secretary of Labor,17,Raymond J. Donovan,Republican,,Ronald Reagan,,,United States
8,Department of Labor,Secretary of Labor,18,Bill Brock,Republican,,Ronald Reagan,,,United States
8,Department of Labor,Secretary of Labor,19,Ann Dore McLaughlin,Republican,,Ronald Reagan,,,United States
8,Department of Labor,Secretary of Labor,20,Elizabeth Dole,Republican,,George H. W. Bush,,,United States
8,Department of Labor,Secretary of Labor,21,Lynn M. Martin,Republican,,George H. W. Bush,,,United States
8,Department of Labor,Secretary of Labor,22,Robert Reich,Democratic,,Bill Clinton,,,United States
8,Department of Labor,Secretary of Labor,23,Alexis Herman,Democratic,,Bill Clinton,,,United States
8,Department of Labor,Secretary of Labor,24,Elaine Chao,Republican,,George W. Bush,,,Taiwan
8,Department of Labor,Secretary of Labor,25,Hilda Solis,Democratic,,Barack Obama,,,United States
8,Department of Labor,Secretary of Labor,26,Tom Perez,Democratic,,Barack Obama,,,United States
8,Department of Labor,Secretary of Labor,27,Alexander Acosta,Republican,,Donald Trump,,,United States
8,Department of Labor,Secretary of Labor,28,Eugene Scalia,Republican,,Donald Trump,,,United States
8,Department of Labor,Secretary of Labor,29,Marty Walsh,Democratic,,Joe Biden,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,1,Oveta Culp Hobby,Republican,,Dwight D. Eisenhower,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,2,Marion B. Folsom,Republican,,Dwight D. Eisenhower,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,3,Arthur S. Flemming,Republican,,Dwight D. Eisenhower,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,4,Abraham A. Ribicoff,Democratic,,John F. Kennedy,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,5,Anthony J. Celebrezze,Democratic,,Lyndon B. Johnson,,,Italy
9,Department of Health and Human Services,Secretary of Health and Human Services,6,John W. Gardner,Republican,,Lyndon B. Johnson,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,7,Wilbur J. Cohen,Democratic,,Lyndon B. Johnson,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,8,Robert H. Finch,Republican,,Richard Nixon,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,9,Elliot L. Richardson,Republican,,Richard Nixon,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,10,Caspar Weinberger,Republican,,Gerald Ford,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,11,F. David Mathews	,Independent,,Gerald Ford,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,12,Joseph A. Califano Jr.,Democratic,,Jimmy Carter,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,13,Patricia Roberts Harris,Democratic,,Jimmy Carter,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,14,Richard S. Schweiker,Republican,,Ronald Reagan,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,15,Margaret M. Heckler,Republican,,Ronald Reagan,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,16,Otis R. Bowen,Republican,,Ronald Reagan,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,17,Louis Wade Sullivan,Republican,,George H. W. Bush,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,18,Donna Shalala,Democratic,,Bill Clinton,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,19,Tommy G. Thompson,Republican,,George W. Bush,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,20,Michael O. Leavitt,Republican,,George W. Bush,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,21,Kathleen Sebelius,Democratic,,Barack Obama,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,22,Sylvia Mathews Burwell,Democratic,,Barack Obama,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,23,Tom Price,Republican,,Donald Trump,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,24,Alex Azar,Republican,,Donald Trump,,,United States
9,Department of Health and Human Services,Secretary of Health and Human Services,25,Xavier Becerra,Democratic,,Joe Biden,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,1,Robert C. Weaver,Democratic,,Lyndon B. Johnson,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,2,Robert C. Wood,Democratic,,Lyndon B. Johnson,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,3,George W. Romney,Republican,,Richard Nixon,,,Mexico
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,4,James T. Lynn,Republican,,Gerald Ford,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,5,Carla A. Hills,Republican,,Gerald Ford,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,6,Patricia R. Harris,Democratic,,Jimmy Carter,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,7,Moon Landrieu,Democratic,,Jimmy Carter,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,8,Samuel R. Pierce,Republican,,Ronald Reagan,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,9,Jack F. Kemp,Republican,,George H. W. Bush,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,10,Henry G. Cisneros,Democratic,,Bill Clinton,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,11,Andrew M. Cuomo,Democratic,,Bill Clinton,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,12,Mel Martinez,Republican,,George W. Bush,,,Cuba
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,13,Alphonso Jackson,Republican,,George W. Bush,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,14,Steve Preston,Republican,,George W. Bush,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,15,Shaun Donovan,Democratic,,Barack Obama,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,16,Julián Castro,Democratic,,Barack Obama,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,17,Ben Carson,Republican,,Donald Trump,,,United States
10,Department of Housing and Urban Development,Secretary of Housing and Urban Development,18,Marcia Fudge,Democratic,,Joe Biden,,,United States
11,Department of Transportation,Secretary of Transportation,1,Alan S. Boyd,Democratic,,Lyndon B. Johnson,,,United States
11,Department of Transportation,Secretary of Transportation,2,John Volpe,Republican,,Richard Nixon,,,United States
11,Department of Transportation,Secretary of Transportation,3,Claude Brinegar,Republican,,Gerald R. Ford,,,United States
11,Department of Transportation,Secretary of Transportation,4,William Thaddeus Coleman Jr.,Republican,,Gerald R. Ford,,,United States
11,Department of Transportation,Secretary of Transportation,5,Brock Adams,Democratic,,Jimmy Carter,,,United States
11,Department of Transportation,Secretary of Transportation,6,Neil Goldschmidt,Democratic,,Jimmy Carter,,,United States
11,Department of Transportation,Secretary of Transportation,7,Drew Lewis,Republican,,Ronald Reagan,,,United States
11,Department of Transportation,Secretary of Transportation,8,Elizabeth Dole,Republican,,Ronald Reagan,,,United States
11,Department of Transportation,Secretary of Transportation,9,James H. Burnley IV,Republican,,Ronald Reagan,,,United States
11,Department of Transportation,Secretary of Transportation,10,Samuel K. Skinner,Republican,,George H. W. Bush,,,United States
11,Department of Transportation,Secretary of Transportation,11,Andrew Card,Republican,,George H. W. Bush,,,United States
11,Department of Transportation,Secretary of Transportation,12,Federico Peña,Democratic,,Bill Clinton,,,United States
11,Department of Transportation,Secretary of Transportation,13,Rodney E. Slater,Democratic,,Bill Clinton,,,United States
11,Department of Transportation,Secretary of Transportation,14,Norman Mineta,Democratic,,George W. Bush,,,United States
11,Department of Transportation,Secretary of Transportation,15,Mary E. Peters,Republican,,George W. Bush,,,United States
11,Department of Transportation,Secretary of Transportation,16,Ray LaHood,Republican,,Barack Obama,,,United States
11,Department of Transportation,Secretary of Transportation,17,Anthony Foxx,Democratic,,Barack Obama,,,United States
11,Department of Transportation,Secretary of Transportation,18,Elaine Chao,Republican,,Donald Trump,,,Taiwan
11,Department of Transportation,Secretary of Transportation,19,Pete Buttigieg,Democratic,,Joe Biden,,,United States
12,Department of Energy,Secretary of Energy,1,James Schlesinger,Republican,,Jimmy Carter,,,United States
12,Department of Energy,Secretary of Energy,2,Charles Duncan,Democratic,,Jimmy Carter,,,United States
