id,area,name,code,type,emblem,plan,currentSeason,numberOfAvailableSeasons,lastUpdated
2126,"{'id': 2108, 'name': 'India', 'code': 'IND', 'flag': None}",I-League,,LEAGUE,,TIER_FOUR,"{'id': 676, 'startDate': '2021-01-09', 'endDate': '2021-05-30', 'currentMatchday': 11, 'winner': None}",4,2021-04-17T11:33:44Z
2161,"{'id': 2108, 'name': 'India', 'code': 'IND', 'flag': None}",Indian Super League,ISL,LEAGUE,,TIER_FOUR,,0,2022-07-26T11:21:45Z
2125,"{'id': 2113, 'name': 'Israel', 'code': 'ISR', 'flag': 'https://crests.football-data.org/israel.svg'}",Ligat ha'Al,ILH,LEAGUE,,TIER_FOUR,"{'id': 1633, 'startDate': '2023-08-26', 'endDate': '2024-03-09', 'currentMatchday': 8, 'winner': None}",6,2022-12-28T09:29:37Z
2124,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Supercoppa,ISC,SUPER_CUP,,TIER_FOUR,"{'id': 692, 'startDate': '2021-01-20', 'endDate': '2021-01-20', 'currentMatchday': None, 'winner': None}",4,2023-03-27T17:30:25Z
2122,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Coppa Italia,CIT,CUP,https://crests.football-data.org/CIT.png,TIER_THREE,"{'id': 1615, 'startDate': '2023-08-05', 'endDate': '2024-05-15', 'currentMatchday': None, 'winner': None}",7,2022-03-20T09:33:08Z
2123,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie C,,LEAGUE,,TIER_FOUR,"{'id': 767, 'startDate': '2021-07-23', 'endDate': '2022-05-12', 'currentMatchday': 38, 'winner': None}",5,2023-03-27T17:30:01Z
2121,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie B,SB,LEAGUE,https://crests.football-data.org/SB.png,TIER_TWO,"{'id': 1608, 'startDate': '2023-08-19', 'endDate': '2024-05-10', 'currentMatchday': 11, 'winner': None}",19,2022-03-20T09:38:51Z
2019,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,TIER_ONE,"{'id': 1600, 'startDate': '2023-08-19', 'endDate': '2024-05-26', 'currentMatchday': 10, 'winner': None}",92,2022-03-20T09:16:43Z
2162,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie C - Girone A,ISCA,LEAGUE,,TIER_FOUR,"{'id': 1619, 'startDate': '2023-09-03', 'endDate': '2024-04-28', 'currentMatchday': 10, 'winner': None}",2,2022-08-13T13:08:43Z
2158,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Playoffs 1/2,IPL,PLAYOFFS,,TIER_FOUR,"{'id': 1487, 'startDate': '2022-11-21', 'endDate': '2023-06-01', 'currentMatchday': None, 'winner': None}",1,2022-05-20T07:40:10Z
2163,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie C - Girone B,ISCB,LEAGUE,,TIER_FOUR,"{'id': 1620, 'startDate': '2023-09-03', 'endDate': '2024-04-28', 'currentMatchday': 10, 'winner': None}",2,2022-09-02T09:20:36Z
2164,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie C - Girone C,ISCC,LEAGUE,,TIER_FOUR,"{'id': 1629, 'startDate': '2023-09-01', 'endDate': '2024-04-28', 'currentMatchday': 10, 'winner': None}",2,2022-09-02T09:20:42Z
2118,"{'id': 2116, 'name': 'Japan', 'code': 'JPN', 'flag': 'https://crests.football-data.org/JAP.svg'}",J.League Cup,,CUP,,TIER_FOUR,"{'id': 581, 'startDate': '2020-02-16', 'endDate': '2020-10-31', 'currentMatchday': 6, 'winner': None}",3,2021-04-17T11:29:34Z
2117,"{'id': 2116, 'name': 'Japan', 'code': 'JPN', 'flag': 'https://crests.football-data.org/JAP.svg'}",J. League Division 2,,LEAGUE,,TIER_FOUR,"{'id': 694, 'startDate': '2021-02-27', 'endDate': '2021-12-05', 'currentMatchday': 42, 'winner': None}",4,2021-04-17T11:29:38Z
2119,"{'id': 2116, 'name': 'Japan', 'code': 'JPN', 'flag': 'https://crests.football-data.org/JAP.svg'}",J. League,JJL,LEAGUE,,TIER_TWO,"{'id': 1544, 'startDate': '2023-02-17', 'endDate': '2023-12-03', 'currentMatchday': 31, 'winner': None}",6,2021-04-17T07:19:45Z
2120,"{'id': 2116, 'name': 'Japan', 'code': 'JPN', 'flag': 'https://crests.football-data.org/JAP.svg'}",Super Cup,,SUPER_CUP,,TIER_FOUR,"{'id': 695, 'startDate': '2021-02-20', 'endDate': '2021-02-23', 'currentMatchday': None, 'winner': None}",4,2021-02-20T08:30:26Z
2116,"{'id': 2129, 'name': 'Latvia', 'code': 'LVA', 'flag': 'https://crests.football-data.org/latvia.svg'}",Virslīga,,LEAGUE,,TIER_FOUR,"{'id': 579, 'startDate': '2020-03-13', 'endDate': '2020-11-14', 'currentMatchday': 36, 'winner': None}",3,2021-04-17T11:29:30Z
2115,"{'id': 2135, 'name': 'Lithuania', 'code': 'LTU', 'flag': 'https://crests.football-data.org/1983.svg'}",A Lyga,,LEAGUE,,TIER_FOUR,"{'id': 590, 'startDate': '2020-03-06', 'endDate': '2020-11-07', 'currentMatchday': 30, 'winner': None}",3,2021-04-17T11:29:27Z
2114,"{'id': 2143, 'name': 'Malta', 'code': 'MLT', 'flag': 'https://crests.football-data.org/malta.svg'}",Premier League,,LEAGUE,,TIER_FOUR,"{'id': 633, 'startDate': '2020-09-11', 'endDate': '2021-05-30', 'currentMatchday': 28, 'winner': None}",4,2021-04-17T11:29:24Z
2112,"{'id': 2149, 'name': 'Mexico', 'code': 'MEX', 'flag': 'https://crests.football-data.org/mexico.svg'}",SuperCopa MX,SCMX,SUPER_CUP,,TIER_FOUR,"{'id': 1535, 'startDate': '2022-06-27', 'endDate': '2022-06-27', 'currentMatchday': None, 'winner': None}",4,2022-11-08T07:21:43Z
2111,"{'id': 2149, 'name': 'Mexico', 'code': 'MEX', 'flag': 'https://crests.football-data.org/mexico.svg'}",Copa MX,,CUP,,TIER_FOUR,"{'id': 479, 'startDate': '2019-07-30', 'endDate': '2020-04-15', 'currentMatchday': 7, 'winner': None}",3,2021-04-17T11:29:21Z
2113,"{'id': 2149, 'name': 'Mexico', 'code': 'MEX', 'flag': 'https://crests.football-data.org/mexico.svg'}",Liga MX,LMX,LEAGUE,,TIER_THREE,"{'id': 1570, 'startDate': '2023-07-01', 'endDate': '2023-11-13', 'currentMatchday': 13, 'winner': None}",7,2021-04-17T07:19:46Z
2109,"{'id': 2163, 'name': 'Netherlands', 'code': 'NLD', 'flag': 'https://crests.football-data.org/8601.svg'}",KNVB Beker,KNV,CUP,,TIER_THREE,"{'id': 1605, 'startDate': '2023-08-12', 'endDate': '2024-05-13', 'currentMatchday': None, 'winner': None}",7,2021-04-17T00:00:25Z
2005,"{'id': 2163, 'name': 'Netherlands', 'code': 'NLD', 'flag': 'https://crests.football-data.org/8601.svg'}",Eerste Divisie,DJL,LEAGUE,,TIER_THREE,"{'id': 1589, 'startDate': '2023-08-11', 'endDate': '2024-05-10', 'currentMatchday': 12, 'winner': None}",7,2021-07-31T11:27:27Z
2003,"{'id': 2163, 'name': 'Netherlands', 'code': 'NLD', 'flag': 'https://crests.football-data.org/8601.svg'}",Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,TIER_ONE,"{'id': 1590, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",68,2022-03-20T09:19:27Z
2110,"{'id': 2163, 'name': 'Netherlands', 'code': 'NLD', 'flag': 'https://crests.football-data.org/8601.svg'}",Johan Cruijff Schaal,,SUPER_CUP,,TIER_FOUR,"{'id': 483, 'startDate': '2019-07-27', 'endDate': '2019-07-27', 'currentMatchday': None, 'winner': None}",3,2019-07-28T00:20:08Z
2108,"{'id': 2171, 'name': 'Northern Ireland', 'code': 'NIR', 'flag': 'https://crests.football-data.org/829.svg'}",League Cup,,CUP,,TIER_FOUR,"{'id': 528, 'startDate': '2019-08-10', 'endDate': '2020-02-15', 'currentMatchday': None, 'winner': None}",3,2021-04-17T11:29:13Z
2107,"{'id': 2171, 'name': 'Northern Ireland', 'code': 'NIR', 'flag': 'https://crests.football-data.org/829.svg'}",Premiership,NIP,LEAGUE,,TIER_FOUR,"{'id': 1622, 'startDate': '2023-08-04', 'endDate': '2024-03-23', 'currentMatchday': 14, 'winner': None}",5,2022-11-16T12:41:43Z
2106,"{'id': 2173, 'name': 'Norway', 'code': 'NOR', 'flag': 'https://crests.football-data.org/813.svg'}",Tippeligaen,TIP,LEAGUE,,TIER_THREE,"{'id': 1541, 'startDate': '2023-04-10', 'endDate': '2023-12-02', 'currentMatchday': 26, 'winner': None}",6,2021-04-17T00:00:26Z
2105,"{'id': 2173, 'name': 'Norway', 'code': 'NOR', 'flag': 'https://crests.football-data.org/813.svg'}",1. divisjon,,LEAGUE,,TIER_FOUR,"{'id': 699, 'startDate': '2021-04-06', 'endDate': '2021-11-06', 'currentMatchday': 30, 'winner': None}",4,2021-04-17T11:29:10Z
2104,"{'id': 2173, 'name': 'Norway', 'code': 'NOR', 'flag': 'https://crests.football-data.org/813.svg'}",Playoffs 1/2,,PLAYOFFS,,TIER_FOUR,"{'id': 112, 'startDate': '2017-11-29', 'endDate': '2017-12-02', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:20:23Z
2103,"{'id': 2175, 'name': 'Oceania', 'code': 'OCE', 'flag': None}",WC Qualification OFC,QOFC,CUP,,TIER_FOUR,"{'id': 111, 'startDate': '2015-08-31', 'endDate': '2017-09-05', 'currentMatchday': 6, 'winner': None}",1,2021-11-09T14:49:43Z
2102,"{'id': 2181, 'name': 'Panama', 'code': 'PAN', 'flag': None}",Liga Panameña de Fútbol,,LEAGUE,,TIER_FOUR,"{'id': 701, 'startDate': '2021-02-19', 'endDate': '2021-11-28', 'currentMatchday': 16, 'winner': None}",5,2021-04-17T11:29:07Z
2101,"{'id': 2184, 'name': 'Peru', 'code': 'PER', 'flag': None}",Primera División,PPD,LEAGUE,,TIER_THREE,"{'id': 1547, 'startDate': '2023-02-03', 'endDate': '2023-12-31', 'currentMatchday': 19, 'winner': None}",6,2021-04-16T05:06:37Z
2099,"{'id': 2186, 'name': 'Poland', 'code': 'POL', 'flag': 'https://crests.football-data.org/794.svg'}",Superpuchar Polski,,SUPER_CUP,,TIER_FOUR,"{'id': 607, 'startDate': '2020-08-09', 'endDate': '2020-08-09', 'currentMatchday': None, 'winner': None}",4,2020-10-10T14:30:08Z
2100,"{'id': 2186, 'name': 'Poland', 'code': 'POL', 'flag': 'https://crests.football-data.org/794.svg'}",Puchar Polski,,CUP,,TIER_FOUR,"{'id': 643, 'startDate': '2020-08-08', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-15T14:10:05Z
2098,"{'id': 2187, 'name': 'Portugal', 'code': 'POR', 'flag': 'https://crests.football-data.org/765.svg'}",Taça de Portugal,,CUP,,TIER_FOUR,"{'id': 659, 'startDate': '2020-09-27', 'endDate': '2021-05-23', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:28:59Z
2096,"{'id': 2187, 'name': 'Portugal', 'code': 'POR', 'flag': 'https://crests.football-data.org/765.svg'}",Liga2 Cabovisão,,LEAGUE,,TIER_FOUR,"{'id': 645, 'startDate': '2020-09-13', 'endDate': '2021-05-19', 'currentMatchday': 34, 'winner': None}",4,2021-04-17T11:29:03Z
2017,"{'id': 2187, 'name': 'Portugal', 'code': 'POR', 'flag': 'https://crests.football-data.org/765.svg'}",Primeira Liga,PPL,LEAGUE,https://crests.football-data.org/PPL.png,TIER_ONE,"{'id': 1603, 'startDate': '2023-08-13', 'endDate': '2024-05-19', 'currentMatchday': 9, 'winner': None}",75,2022-03-20T09:34:09Z
2097,"{'id': 2187, 'name': 'Portugal', 'code': 'POR', 'flag': 'https://crests.football-data.org/765.svg'}",Supertaça Cândido de Oliveira,SCO,SUPER_CUP,,TIER_FOUR,"{'id': 1618, 'startDate': '2023-08-09', 'endDate': '2023-08-09', 'currentMatchday': None, 'winner': None}",5,2023-08-04T15:20:51Z
2095,"{'id': 2192, 'name': 'Republic of Ireland', 'code': 'IRL', 'flag': 'https://crests.football-data.org/806.svg'}",Premier Division,,LEAGUE,,TIER_FOUR,"{'id': 574, 'startDate': '2020-02-14', 'endDate': '2020-10-23', 'currentMatchday': 35, 'winner': None}",3,2021-04-17T11:28:53Z
2092,"{'id': 2194, 'name': 'Romania', 'code': 'ROU', 'flag': 'https://crests.football-data.org/811.svg'}",Liga II,,LEAGUE,,TIER_FOUR,"{'id': 713, 'startDate': '2020-08-29', 'endDate': '2021-05-30', 'currentMatchday': 21, 'winner': None}",4,2021-04-17T11:28:49Z
2094,"{'id': 2194, 'name': 'Romania', 'code': 'ROU', 'flag': 'https://crests.football-data.org/811.svg'}",Liga I,RL1,LEAGUE,,TIER_THREE,"{'id': 1583, 'startDate': '2023-07-14', 'endDate': '2024-03-09', 'currentMatchday': 13, 'winner': None}",7,2021-04-17T00:00:27Z
2093,"{'id': 2194, 'name': 'Romania', 'code': 'ROU', 'flag': 'https://crests.football-data.org/811.svg'}",Supercupa României,,SUPER_CUP,,TIER_FOUR,"{'id': 515, 'startDate': '2019-07-13', 'endDate': '2019-07-13', 'currentMatchday': None, 'winner': None}",3,2019-07-07T00:20:01Z
2089,"{'id': 2195, 'name': 'Russia', 'code': 'RUS', 'flag': 'https://crests.football-data.org/808.svg'}",Russian Cup,,CUP,,TIER_FOUR,"{'id': 646, 'startDate': '2020-08-05', 'endDate': '2021-05-12', 'currentMatchday': 3, 'winner': None}",4,2021-04-17T11:28:45Z
2088,"{'id': 2195, 'name': 'Russia', 'code': 'RUS', 'flag': 'https://crests.football-data.org/808.svg'}",FNL,,LEAGUE,,TIER_FOUR,"{'id': 634, 'startDate': '2020-08-01', 'endDate': '2021-10-03', 'currentMatchday': 42, 'winner': None}",4,2021-04-17T11:32:31Z
2137,"{'id': 2195, 'name': 'Russia', 'code': 'RUS', 'flag': 'https://crests.football-data.org/808.svg'}",RFPL,RFPL,LEAGUE,,TIER_TWO,"{'id': 1582, 'startDate': '2023-07-22', 'endDate': '2024-05-25', 'currentMatchday': 13, 'winner': None}",7,2021-04-17T00:00:27Z
2090,"{'id': 2195, 'name': 'Russia', 'code': 'RUS', 'flag': 'https://crests.football-data.org/808.svg'}",Playoffs 1/2,,PLAYOFFS,,TIER_FOUR,"{'id': 96, 'startDate': '2018-05-17', 'endDate': '2018-05-20', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:24:32Z
2091,"{'id': 2195, 'name': 'Russia', 'code': 'RUS', 'flag': 'https://crests.football-data.org/808.svg'}",Russian Super Cup,,SUPER_CUP,,TIER_FOUR,"{'id': 647, 'startDate': '2020-08-07', 'endDate': '2020-08-07', 'currentMatchday': None, 'winner': None}",4,2019-07-07T00:25:01Z
2087,"{'id': 2204, 'name': 'Scotland', 'code': 'SCO', 'flag': 'https://crests.football-data.org/814.svg'}",Scottish Cup,,CUP,,TIER_FOUR,"{'id': 703, 'startDate': '2020-11-28', 'endDate': '2021-05-08', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:28:39Z
2085,"{'id': 2204, 'name': 'Scotland', 'code': 'SCO', 'flag': 'https://crests.football-data.org/814.svg'}",Championship,,LEAGUE,,TIER_FOUR,"{'id': 608, 'startDate': '2020-10-17', 'endDate': '2021-05-30', 'currentMatchday': 27, 'winner': None}",4,2021-04-17T11:28:42Z
2084,"{'id': 2204, 'name': 'Scotland', 'code': 'SCO', 'flag': 'https://crests.football-data.org/814.svg'}",Premier League,SPL,LEAGUE,https://crests.football-data.org/SPL.png,TIER_TWO,"{'id': 1597, 'startDate': '2023-08-05', 'endDate': '2024-04-13', 'currentMatchday': 9, 'winner': None}",127,2022-03-20T09:35:15Z
2086,"{'id': 2204, 'name': 'Scotland', 'code': 'SCO', 'flag': 'https://crests.football-data.org/814.svg'}",Playoffs 2/3,,SUPER_CUP,,TIER_FOUR,"{'id': 92, 'startDate': '2018-05-02', 'endDate': '2018-05-13', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:25:54Z
2173,"{'id': 2215, 'name': 'Slovenia', 'code': 'SVN', 'flag': None}",PrvaLiga,SPRV,LEAGUE,,TIER_FOUR,"{'id': 1585, 'startDate': '2023-07-22', 'endDate': '2024-05-18', 'currentMatchday': 14, 'winner': None}",1,2023-06-28T10:30:14Z
2083,"{'id': 2219, 'name': 'South Africa', 'code': 'RSA', 'flag': None}",ABSA Premiership,,LEAGUE,,TIER_FOUR,"{'id': 704, 'startDate': '2020-10-24', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:28:35Z
2152,"{'id': 2220, 'name': 'South America', 'code': 'SAM', 'flag': 'https://crests.football-data.org/CLI.svg'}",Copa Libertadores,CLI,CUP,https://crests.football-data.org/CLI.svg,TIER_ONE,"{'id': 1545, 'startDate': '2023-02-08', 'endDate': '2023-11-11', 'currentMatchday': 10, 'winner': None}",3,2023-03-16T16:22:43Z
2080,"{'id': 2220, 'name': 'South America', 'code': 'SAM', 'flag': 'https://crests.football-data.org/CLI.svg'}",Copa America,CA,CUP,,TIER_FOUR,"{'id': 567, 'startDate': '2021-06-12', 'endDate': '2021-07-12', 'currentMatchday': 5, 'winner': None}",3,2021-05-25T10:09:19Z
2081,"{'id': 2220, 'name': 'South America', 'code': 'SAM', 'flag': 'https://crests.football-data.org/CLI.svg'}",Copa Sudamericana,,CUP,,TIER_FOUR,"{'id': 723, 'startDate': '2021-03-16', 'endDate': '2021-11-06', 'currentMatchday': 6, 'winner': None}",4,2021-04-17T11:28:31Z
2082,"{'id': 2220, 'name': 'South America', 'code': 'SAM', 'flag': 'https://crests.football-data.org/CLI.svg'}",WC Qualification CONMEBOL,QCBL,CUP,,TIER_FOUR,"{'id': 1599, 'startDate': '2023-09-06', 'endDate': '2025-09-06', 'currentMatchday': 5, 'winner': None}",3,2021-11-11T10:35:28Z
2079,"{'id': 2224, 'name': 'Spain', 'code': 'ESP', 'flag': 'https://crests.football-data.org/760.svg'}",Copa del Rey,CDR,CUP,,TIER_THREE,"{'id': 1635, 'startDate': '2023-10-11', 'endDate': '2023-10-12', 'currentMatchday': None, 'winner': None}",7,2021-04-16T00:00:33Z
2077,"{'id': 2224, 'name': 'Spain', 'code': 'ESP', 'flag': 'https://crests.football-data.org/760.svg'}",Segunda División,SD,LEAGUE,https://crests.football-data.org/SD.png,TIER_TWO,"{'id': 1602, 'startDate': '2023-08-13', 'endDate': '2024-06-02', 'currentMatchday': 13, 'winner': None}",12,2022-03-20T09:35:51Z
2014,"{'id': 2224, 'name': 'Spain', 'code': 'ESP', 'flag': 'https://crests.football-data.org/760.svg'}",Primera Division,PD,LEAGUE,https://crests.football-data.org/PD.png,TIER_ONE,"{'id': 1577, 'startDate': '2023-08-13', 'endDate': '2024-05-26', 'currentMatchday': 11, 'winner': None}",93,2022-03-20T09:20:08Z
2078,"{'id': 2224, 'name': 'Spain', 'code': 'ESP', 'flag': 'https://crests.football-data.org/760.svg'}",Supercopa de España,SDE,SUPER_CUP,,TIER_FOUR,"{'id': 714, 'startDate': '2021-01-13', 'endDate': '2021-01-17', 'currentMatchday': None, 'winner': None}",4,2023-03-27T17:31:21Z
2074,"{'id': 2233, 'name': 'Sweden', 'code': 'SWE', 'flag': 'https://crests.football-data.org/792.svg'}",Superettan,,LEAGUE,,TIER_FOUR,"{'id': 710, 'startDate': '2021-04-10', 'endDate': '2021-11-27', 'currentMatchday': 30, 'winner': None}",4,2021-04-17T11:28:27Z
2073,"{'id': 2233, 'name': 'Sweden', 'code': 'SWE', 'flag': 'https://crests.football-data.org/792.svg'}",Allsvenskan,ALL,LEAGUE,,TIER_THREE,"{'id': 1540, 'startDate': '2023-04-01', 'endDate': '2023-11-12', 'currentMatchday': 28, 'winner': None}",6,2021-04-17T00:00:29Z
2076,"{'id': 2233, 'name': 'Sweden', 'code': 'SWE', 'flag': 'https://crests.football-data.org/792.svg'}",Playoffs 1/2,,PLAYOFFS,,TIER_FOUR,"{'id': 80, 'startDate': '2017-11-15', 'endDate': '2017-11-19', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:28:54Z
2151,"{'id': 2233, 'name': 'Sweden', 'code': 'SWE', 'flag': 'https://crests.football-data.org/792.svg'}",Svenska Supercupen,,LEAGUE,,TIER_FOUR,"{'id': 711, 'startDate': '2015-11-08', 'endDate': '2015-11-08', 'currentMatchday': None, 'winner': None}",1,2021-02-06T18:10:50Z
2075,"{'id': 2233, 'name': 'Sweden', 'code': 'SWE', 'flag': 'https://crests.football-data.org/792.svg'}",Playoffs 2/3,,PLAYOFFS,,TIER_FOUR,"{'id': 79, 'startDate': '2017-11-08', 'endDate': '2017-11-11', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:28:43Z
2071,"{'id': 2234, 'name': 'Switzerland', 'code': 'CHE', 'flag': 'https://crests.football-data.org/788.svg'}",Schweizer Pokal,,CUP,,TIER_FOUR,"{'id': 660, 'startDate': '2020-08-28', 'endDate': '2021-05-24', 'currentMatchday': None, 'winner': None}",4,2021-04-17T10:02:19Z
2072,"{'id': 2234, 'name': 'Switzerland', 'code': 'CHE', 'flag': 'https://crests.football-data.org/788.svg'}",Super League,SSL,LEAGUE,,TIER_THREE,"{'id': 1578, 'startDate': '2023-07-22', 'endDate': '2024-02-03', 'currentMatchday': 12, 'winner': None}",7,2021-04-17T00:00:29Z
2068,"{'id': 2247, 'name': 'Turkey', 'code': 'TUR', 'flag': 'https://crests.football-data.org/803.svg'}",1. Lig,T1L,LEAGUE,,TIER_FOUR,"{'id': 1621, 'startDate': '2023-08-11', 'endDate': '2024-05-12', 'currentMatchday': 10, 'winner': None}",6,2022-07-26T09:36:02Z
2070,"{'id': 2247, 'name': 'Turkey', 'code': 'TUR', 'flag': 'https://crests.football-data.org/803.svg'}",Süper Lig,TSL,LEAGUE,,TIER_THREE,"{'id': 1612, 'startDate': '2023-08-13', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",7,2021-04-17T00:00:29Z
2069,"{'id': 2247, 'name': 'Turkey', 'code': 'TUR', 'flag': 'https://crests.football-data.org/803.svg'}",TFF Süper Kupa,,SUPER_CUP,,TIER_FOUR,"{'id': 708, 'startDate': '2021-01-27', 'endDate': '2021-01-27', 'currentMatchday': None, 'winner': None}",4,2019-08-07T21:11:21Z
2065,"{'id': 2253, 'name': 'Ukraine', 'code': 'UKR', 'flag': 'https://crests.football-data.org/790.svg'}",Kubok Ukrainy,,CUP,,TIER_FOUR,"{'id': 551, 'startDate': '2019-08-07', 'endDate': '2020-07-08', 'currentMatchday': None, 'winner': None}",3,2021-04-06T14:22:39Z
2064,"{'id': 2253, 'name': 'Ukraine', 'code': 'UKR', 'flag': 'https://crests.football-data.org/790.svg'}",Premier Liha,UPL,LEAGUE,,TIER_THREE,"{'id': 1604, 'startDate': '2023-07-29', 'endDate': '2024-05-25', 'currentMatchday': 11, 'winner': None}",7,2021-04-17T00:00:30Z
2067,"{'id': 2253, 'name': 'Ukraine', 'code': 'UKR', 'flag': 'https://crests.football-data.org/790.svg'}",Superkubok Ukrainy,,SUPER_CUP,,TIER_FOUR,"{'id': 648, 'startDate': '2020-08-25', 'endDate': '2020-08-25', 'currentMatchday': None, 'winner': None}",4,2019-07-28T23:59:39Z
2066,"{'id': 2253, 'name': 'Ukraine', 'code': 'UKR', 'flag': 'https://crests.football-data.org/790.svg'}",Playoffs 1/2,,PLAYOFFS,,TIER_FOUR,"{'id': 70, 'startDate': '2018-05-23', 'endDate': '2018-05-27', 'currentMatchday': None, 'winner': None}",1,2018-06-02T14:03:07Z
2145,"{'id': 2256, 'name': 'United States', 'code': 'USA', 'flag': 'https://crests.football-data.org/usa.svg'}",MLS,MLS,LEAGUE,https://crests.football-data.org/MLS.png,TIER_TWO,"{'id': 1546, 'startDate': '2023-02-25', 'endDate': '2023-10-21', 'currentMatchday': 9, 'winner': None}",4,2022-03-20T09:23:49Z
2175,"{'id': 2256, 'name': 'United States', 'code': 'USA', 'flag': 'https://crests.football-data.org/usa.svg'}",MLS - Playoffs,MLSP,LEAGUE,,,"{'id': 1636, 'startDate': '2023-10-25', 'endDate': '2023-12-09', 'currentMatchday': 3, 'winner': None}",1,2023-10-25T09:58:07Z
2063,"{'id': 2257, 'name': 'Uruguay', 'code': 'URY', 'flag': None}",Primera División,,LEAGUE,,TIER_FOUR,"{'id': 588, 'startDate': '2020-02-15', 'endDate': '2020-11-28', 'currentMatchday': 7, 'winner': None}",3,2021-04-17T11:28:21Z
2148,"{'id': 2257, 'name': 'Uruguay', 'code': 'URY', 'flag': None}",Supercopa Uruguaya,SUCU,SUPER_CUP,,TIER_FOUR,"{'id': 569, 'startDate': '2020-02-01', 'endDate': '2020-02-01', 'currentMatchday': 1, 'winner': None}",1,2020-01-30T10:47:26Z
2062,"{'id': 2262, 'name': 'Venezuela', 'code': 'VEN', 'flag': None}",Primera División,,LEAGUE,,TIER_FOUR,"{'id': 722, 'startDate': '2021-04-04', 'endDate': '2021-11-28', 'currentMatchday': 1, 'winner': None}",4,2021-04-17T11:28:17Z
2061,"{'id': 2263, 'name': 'Vietnam', 'code': 'VIE', 'flag': None}",V-League,,LEAGUE,,TIER_FOUR,"{'id': 705, 'startDate': '2021-01-24', 'endDate': '2021-10-31', 'currentMatchday': 13, 'winner': None}",4,2021-04-17T00:00:31Z
2060,"{'id': 2264, 'name': 'Wales', 'code': 'WAL', 'flag': 'https://crests.football-data.org/833.svg'}",Welsh Premier League,,LEAGUE,,TIER_FOUR,"{'id': 651, 'startDate': '2020-09-11', 'endDate': '2021-05-30', 'currentMatchday': 22, 'winner': None}",4,2021-04-17T11:28:09Z
2000,"{'id': 2267, 'name': 'World', 'code': 'INT', 'flag': None}",FIFA World Cup,WC,CUP,https://crests.football-data.org/qatar.png,TIER_ONE,"{'id': 1382, 'startDate': '2022-11-20', 'endDate': '2022-12-18', 'currentMatchday': 8, 'winner': {'id': 762, 'name': 'Argentina', 'shortName': 'Argentina', 'tla': 'ARG', 'crest': 'https://crests.football-data.org/762.png', 'address': 'Viamonte 1366/76 Buenos Aires, Buenos Aires 1053', 'website': 'http://www.afa.org.ar', 'founded': 1893, 'clubColors': 'Sky Blue / White / Black', 'venue': None, 'lastUpdated': '2022-05-17T21:09:25Z'}}",22,2022-05-09T19:45:29Z
2153,"{'id': 2267, 'name': 'World', 'code': 'INT', 'flag': None}",Summer Olympics,OLY,CUP,https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg,TIER_FOUR,"{'id': 759, 'startDate': '2021-07-21', 'endDate': '2021-08-08', 'currentMatchday': 3, 'winner': None}",1,2021-07-21T15:39:38Z
