type,color,extensions,tm_scope,ace_mode,language_id,language,codemirror_mode,codemirror_mime_type,aliases,filenames,group,interpreters,searchable,wrap,fs_name
data,#2d004d,['.nanorc'],source.nanorc,text,775996197,nanorc,,,,"['.nanorc', 'nanorc']",INI,,,,
data,,,text.robots-txt,text,674736065,robots.txt,,,"['robots', 'robots txt']",['robots.txt'],,,,,
markup,#2ACCA8,['.apib'],text.html.markdown.source.gfm.apib,markdown,5,API Blueprint,,,,,,,,,
markup,#ff269e,"['.antlers.html', '.antlers.php', '.antlers.xml']",text.html.statamic,text,1067292663,Antlers,,,,,,,,,
markup,#ff5a03,['.astro'],source.astro,html,578209015,Astro,jsx,text/jsx,,,,,,,
markup,#778899,"['.bib', '.bibtex']",text.bibtex,tex,982188347,BibTeX,stex,text/x-stex,,,TeX,,,,
markup,#5562ac,['.bs'],source.csswg,html,1055528081,Bikeshed,htmlmixed,text/html,,,,,,,
markup,#f7523f,"['.blade', '.blade.php']",text.html.php.blade,text,33,Blade,,,,,,,,,
markup,#563d7c,['.css'],source.css,css,50,CSS,css,text/css,,,,,,,
markup,#0d948f,['.soy'],text.html.soy,soy_template,357046146,Closure Templates,soy,text/x-soy,['soy'],,,,,,
markup,#a91e50,"['.ejs', '.ect', '.ejs.t', '.jst']",text.html.js,ejs,95,EJS,,,,,,,,,
markup,#eb8131,['.html'],text.html.ecmarkup,html,844766630,Ecmarkup,htmlmixed,text/html,['ecmarkdown'],,HTML,,,,
markup,#d8df39,['.per'],source.genero-forms,text,902995658,Genero Forms,,,,,,,,,
markup,#e34c26,"['.html', '.hta', '.htm', '.html.hl', '.inc', '.xht', '.xhtml']",text.html.basic,html,146,HTML,htmlmixed,text/html,['xhtml'],,,,,,
markup,#2e1052,['.ecr'],text.html.ecr,text,148,HTML+ECR,htmlmixed,text/html,['ecr'],,HTML,,,,
markup,#6e4a7e,"['.eex', '.html.heex', '.html.leex']",text.html.elixir,text,149,HTML+EEX,htmlmixed,text/html,"['eex', 'heex', 'leex']",,HTML,,,,
markup,#701516,"['.erb', '.erb.deface', '.rhtml']",text.html.erb,text,150,HTML+ERB,htmlembedded,application/x-erb,"['erb', 'rhtml', 'html+ruby']",,HTML,,,,
markup,#4f5d95,['.phtml'],text.html.php,php,151,HTML+PHP,php,application/x-httpd-php,,,HTML,,,,
markup,#512be4,"['.cshtml', '.razor']",text.html.cshtml,razor,479039817,HTML+Razor,htmlmixed,text/html,['razor'],,HTML,,,,
markup,#ece2a9,"['.haml', '.haml.deface']",text.haml,haml,154,Haml,haml,text/x-haml,,,,,,,
markup,#f7931e,"['.handlebars', '.hbs']",text.html.handlebars,handlebars,155,Handlebars,,,"['hbs', 'htmlbars']",,,,,,
markup,#a52a22,"['.jinja', '.j2', '.jinja2']",text.html.django,django,147,Jinja,django,text/x-django,"['django', 'html+django', 'html+jinja', 'htmldjango']",,,,,,
markup,#DA5B0B,['.ipynb'],source.json,json,185,Jupyter Notebook,javascript,application/json,['IPython Notebook'],['Notebook'],,,,,
markup,,['.kit'],text.html.basic,html,188,Kit,htmlmixed,text/html,,,,,,,
markup,#f2a542,['.latte'],text.html.smarty,smarty,196,Latte,smarty,text/x-smarty,,,,,,,
markup,#1d365d,['.less'],source.css.less,less,198,Less,css,text/css,['less-css'],,,,,,
markup,#67b8de,['.liquid'],text.html.liquid,liquid,204,Liquid,,,,,,,,,
markup,#b7e1f4,['.mtml'],text.html.basic,html,218,MTML,htmlmixed,text/html,,,,,,,
markup,#42bff2,['.marko'],text.marko,text,932782397,Marko,htmlmixed,text/html,['markojs'],,,,,,
markup,#f97732,['.mask'],source.mask,mask,223,Mask,,,,,,,,,
markup,#ff3670,"['.mmd', '.mermaid']",source.mermaid,text,385992043,Mermaid,,,['mermaid example'],,,,,,
markup,#724b3b,['.mustache'],text.html.smarty,smarty,638334590,Mustache,smarty,text/x-smarty,,,,,,,
markup,#3d8137,['.njk'],text.html.nunjucks,nunjucks,461856962,Nunjucks,,,['njk'],,,,,,
markup,,"['.pic', '.chem']",source.pic,text,425,Pic,troff,text/troff,,,Roff,,,,
markup,#dc3a0c,"['.pcss', '.postcss']",source.postcss,text,262764437,PostCSS,,,,,CSS,,,,
markup,#da291c,"['.ps', '.eps', '.epsi', '.pfa']",source.postscript,text,291,PostScript,,,['postscr'],,,,,,
markup,#a86454,"['.jade', '.pug']",text.jade,jade,179,Pug,pug,text/x-pug,,,,,,,
markup,#77d9fb,['.raml'],source.yaml,yaml,308,RAML,yaml,text/x-yaml,,,,,,,
markup,#665a4e,"['.rnh', '.rno']",text.runoff,text,315,RUNOFF,,,,,,,,True,
markup,,['.rtf'],text.rtf,text,51601661,Rich Text Format,,,,,,,,,
markup,#A71E49,['.riot'],text.html.riot,html,878396783,Riot,,,,,,,,,
markup,#ecdebe,"['.roff', '.1', '.1in', '.1m', '.1x', '.2', '.3', '.3in', '.3m', '.3p', '.3pm', '.3qt', '.3x', '.4', '.5', '.6', '.7', '.8', '.9', '.l', '.man', '.mdoc', '.me', '.ms', '.n', '.nr', '.rno', '.tmac']",text.roff,text,141,Roff,troff,text/troff,"['groff', 'man', 'manpage', 'man page', 'man-page', 'mdoc', 'nroff', 'troff']","['eqnrc', 'mmn', 'mmt', 'troffrc', 'troffrc-end']",,,,True,
markup,#ecdebe,"['.1', '.1in', '.1m', '.1x', '.2', '.3', '.3in', '.3m', '.3p', '.3pm', '.3qt', '.3x', '.4', '.5', '.6', '.7', '.8', '.9', '.man', '.mdoc']",text.roff,text,612669833,Roff Manpage,troff,text/troff,,,Roff,,,True,
markup,#c6538c,['.scss'],source.css.scss,scss,329,SCSS,css,text/x-scss,,,,,,,
markup,#348a34,['.srt'],source.lisp,lisp,335,SRecode Template,commonlisp,text/x-common-lisp,,,,,,,
markup,#a53b70,['.sass'],source.sass,sass,340,Sass,sass,text/x-sass,,,,,,,
markup,#bd181a,['.scaml'],source.scaml,text,342,Scaml,,,,,,,,,
markup,#2b2b2b,['.slim'],text.slim,text,350,Slim,slim,text/x-slim,,,,,,,
markup,#3fb34f,['.st'],source.string-template,html,89855901,StringTemplate,htmlmixed,text/html,,,,,,,
markup,#ff6347,['.styl'],source.stylus,stylus,359,Stylus,,,,,,,,,
markup,#2fcc9f,['.sss'],source.css.postcss.sugarss,text,826404698,SugarSS,,,,,,,,,
markup,#ff3e00,['.svelte'],source.svelte,html,928734530,Svelte,htmlmixed,text/html,,,,,,,
markup,#3D6117,"['.tex', '.aux', '.bbx', '.cbx', '.cls', '.dtx', '.ins', '.lbx', '.ltx', '.mkii', '.mkiv', '.mkvi', '.sty', '.toc']",text.tex.latex,tex,369,TeX,stex,text/x-stex,['latex'],,,,,True,
markup,,['.tea'],source.tea,text,370,Tea,,,,,,,,,
markup,#c1d026,['.twig'],text.html.twig,twig,377,Twig,twig,text/x-twig,,,,,,,
markup,#507cff,['.vtl'],source.velocity,velocity,292377326,Velocity Template Language,velocity,text/velocity,"['vtl', 'velocity']",,,,,,
markup,#199f4b,"['.snip', '.snippet', '.snippets']",source.vim-snippet,text,81265970,Vim Snippet,,,"['SnipMate', 'UltiSnip', 'UltiSnips', 'NeoSnippet']",,,,,,
markup,#41b883,['.vue'],text.html.vue,html,391,Vue,,,,,,,,,
markup,#32AB90,['.yasnippet'],source.yasnippet,text,378760102,YASnippet,,,"['snippet', 'yas']",,,,,,
markup,#1da6e0,['.kv'],source.python.kivy,text,970675279,kvlang,,,,,,,,,
